instance algorithm localsearch alpha beta rho ants q0 rasrank elitistants nnls dlb val
121 acs 3 4.32 8.66 0.73 17 0.79 NA NA 28 0 32866542
121 eas 1 4.27 9.2 0.4 97 NA NA 57 20 1 33163370
121 acs 3 3.92 4.89 0.15 79 0.24 NA NA 9 0 32904253
121 mmas 3 0.43 1.5 0.78 27 NA NA NA 44 1 33222469
121 ras 3 0.01 8.22 0.12 13 NA 24 NA 5 0 33404653
121 as 3 1.31 7.58 0.06 93 NA NA NA 48 0 33101093
121 mmas 3 4.55 2.1 0.88 16 NA NA NA 31 0 33273218
121 mmas 0 4.9 4.97 0.75 72 NA NA NA NA NA 41507582
121 mmas 2 3.72 2.19 0.47 13 NA NA NA 24 1 33036846
121 acs 0 2.69 4.46 0.95 84 0.42 NA NA NA NA 41084460
121 as 0 2.93 7.38 0.9 68 NA NA NA NA NA 37819163
121 mmas 1 1.95 1.21 0.36 11 NA NA NA 49 1 32924884
121 acs 3 4.66 3.87 0.35 47 0.77 NA NA 25 1 32805308
121 as 0 2.41 3.02 0.17 11 NA NA NA NA NA 38842864
121 mmas 1 1.08 1.63 0.75 64 NA NA NA 29 0 33007885
121 ras 1 3.51 5.87 0.49 74 NA 5 NA 44 0 33025469
121 as 3 2.11 4.8 0.98 100 NA NA NA 46 1 32959415
121 eas 2 2.13 5.02 0.11 45 NA NA 557 16 0 33065889
121 mmas 3 4.18 6.6 0.42 95 NA NA NA 5 1 32741131
121 mmas 2 1.67 2.29 1.0 38 NA NA NA 47 1 33824080
121 eas 2 4.17 1.18 0.83 35 NA NA 353 27 1 33852631
121 ras 3 0.41 8.03 0.4 29 NA 75 NA 25 1 33193950
121 eas 3 3.14 8.97 0.6 10 NA NA 150 10 0 32690411
121 as 0 1.31 5.97 0.03 73 NA NA NA NA NA 38768311
121 as 3 4.84 0.86 0.51 85 NA NA NA 22 1 32772696
121 ras 3 1.75 7.92 0.61 8 NA 82 NA 11 0 32859212
121 as 1 2.8 2.93 0.89 18 NA NA NA 9 0 33110830
121 ras 1 2.13 4.43 0.15 59 NA 73 NA 48 1 33681668
121 as 0 2.69 1.49 0.18 77 NA NA NA NA NA 39466062
121 as 2 4.5 1.12 0.58 18 NA NA NA 21 1 32883235
121 acs 0 2.83 2.14 0.46 28 0.79 NA NA NA NA 40972689
121 acs 1 3.19 2.58 0.46 65 0.31 NA NA 49 1 33069997
121 acs 3 4.67 6.02 0.36 6 0.9 NA NA 29 1 32653760
121 acs 2 0.22 3.05 0.91 69 0.01 NA NA 49 1 34036914
121 acs 1 0.11 1.81 0.03 33 0.11 NA NA 36 1 34992323
121 ras 1 2.63 5.34 0.18 72 NA 42 NA 17 0 33509866
121 ras 1 2.45 8.87 0.96 43 NA 19 NA 31 0 33437445
121 eas 3 1.94 4.27 0.14 32 NA NA 641 11 0 32777178
121 eas 3 1.46 6.26 0.57 47 NA NA 99 21 1 32809191
121 ras 2 2.08 8.73 0.99 92 NA 65 NA 42 0 33125027
121 eas 2 0.59 1.85 0.03 88 NA NA 52 45 1 34131398
121 mmas 1 3.21 8.61 0.39 5 NA NA NA 8 0 32923528
121 acs 1 3.17 3.15 0.84 6 0.14 NA NA 9 0 33187945
121 eas 3 1.47 2.15 0.78 62 NA NA 162 33 1 32834807
121 mmas 0 3.18 2.48 0.13 12 NA NA NA NA NA 42206875
121 ras 0 3.71 8.51 0.47 36 NA 91 NA NA NA 39226404
121 ras 0 3.25 2.47 0.16 15 NA 31 NA NA NA 43764441
121 eas 0 3.72 9.47 0.7 28 NA NA 392 NA NA 40339863
121 ras 2 4.47 1.91 0.07 36 NA 87 NA 45 0 33084776
121 ras 0 4.46 6.81 0.63 26 NA 81 NA NA NA 40781447
121 acs 1 2.25 4.06 0.68 6 0.51 NA NA 42 1 32917855
121 eas 0 0.31 0.72 0.47 33 NA NA 575 NA NA 67225592
121 mmas 1 4.25 6.68 0.76 58 NA NA NA 23 0 33491654
121 as 1 2.36 3.28 0.37 37 NA NA NA 23 1 33523235
121 eas 2 1.34 0.89 0.95 27 NA NA 641 38 1 33523407
121 ras 2 4.84 8.42 0.22 94 NA 58 NA 45 1 33308482
121 eas 2 1.37 6.63 0.62 30 NA NA 741 5 1 32755574
121 acs 3 0.56 3.06 0.55 88 0.08 NA NA 28 0 33102409
121 ras 2 1.96 6.48 0.08 62 NA 51 NA 9 1 33446472
121 ras 1 4.66 2.59 0.19 20 NA 57 NA 5 1 33488637
121 as 3 1.48 0.81 0.01 57 NA NA NA 5 0 33570001
121 eas 1 1.15 5.32 0.19 62 NA NA 543 34 1 33514311
121 as 2 2.38 0.77 0.19 95 NA NA NA 16 1 33230929
121 mmas 1 3.38 1.76 0.16 37 NA NA NA 43 1 32848413
121 as 3 3.08 3.66 0.1 30 NA NA NA 44 1 32915418
121 as 0 0.17 3.31 0.22 20 NA NA NA NA NA 46618071
121 as 0 4.83 4.86 0.59 32 NA NA NA NA NA 38561034
121 as 0 2.8 8.45 0.91 13 NA NA NA NA NA 39186190
121 as 3 4.36 8.3 0.57 30 NA NA NA 6 1 32781444
121 eas 3 1.56 3.78 0.35 99 NA NA 640 31 1 32839680
121 eas 2 1.0 7.37 0.39 84 NA NA 478 46 1 33448501
121 acs 2 1.12 1.42 0.86 58 0.57 NA NA 15 1 33534928
121 eas 3 4.15 5.53 0.1 36 NA NA 425 43 1 32910590
121 eas 3 1.54 5.47 0.45 56 NA NA 558 16 1 32672982
121 as 2 4.82 5.04 0.56 15 NA NA NA 19 0 32856462
121 ras 2 0.8 6.74 0.08 25 NA 5 NA 24 0 33480876
121 eas 3 3.9 2.08 0.87 74 NA NA 107 32 0 32982000
121 mmas 2 3.69 3.42 0.69 63 NA NA NA 34 0 33183144
121 as 2 2.87 1.9 0.31 47 NA NA NA 44 0 32999101
121 mmas 3 2.33 2.17 0.14 48 NA NA NA 29 0 33266765
121 eas 2 0.66 5.45 0.29 93 NA NA 85 33 1 33626382
121 ras 2 1.34 6.98 0.64 91 NA 96 NA 28 1 33536525
121 as 3 0.09 0.8 0.01 21 NA NA NA 12 1 33495635
121 acs 3 3.93 2.62 1.0 51 0.84 NA NA 50 1 32832444
121 ras 3 0.52 8.99 0.22 89 NA 87 NA 23 0 33030578
121 as 2 0.32 4.63 0.98 65 NA NA NA 29 1 33984092
121 eas 3 0.63 5.01 0.45 14 NA NA 711 11 1 32937369
121 ras 3 1.56 3.97 0.12 78 NA 27 NA 40 1 33100817
121 mmas 0 2.05 4.53 0.77 71 NA NA NA NA NA 41292123
121 ras 1 2.04 6.21 0.61 30 NA 43 NA 23 0 33395744
121 eas 1 1.47 3.31 0.75 44 NA NA 423 35 0 33160010
121 acs 0 3.69 5.43 0.52 72 0.42 NA NA NA NA 40320912
121 acs 3 0.94 7.87 0.89 99 0.69 NA NA 7 1 33207534
121 eas 3 1.98 6.18 0.15 64 NA NA 619 30 0 33074701
121 as 0 4.89 2.23 0.27 64 NA NA NA NA NA 39277899
121 as 0 2.91 5.59 0.17 90 NA NA NA NA NA 38050928
121 ras 0 3.87 9.65 0.31 54 NA 46 NA NA NA 38604419
121 as 2 2.79 7.83 0.06 5 NA NA NA 37 1 33364729
121 as 1 0.39 2.63 0.47 26 NA NA NA 32 1 34551731
121 mmas 1 2.18 9.07 0.73 52 NA NA NA 10 0 32947125
121 acs 2 0.77 4.29 0.32 32 0.81 NA NA 5 0 33419222
121 ras 2 2.14 7.63 0.56 78 NA 85 NA 25 0 33200045
121 eas 1 4.09 7.67 0.23 50 NA NA 33 47 1 33268912
121 ras 2 2.93 0.84 0.67 87 NA 94 NA 49 0 32979240
121 as 2 4.48 7.9 0.16 33 NA NA NA 32 1 33203492
121 as 0 1.37 7.84 0.05 31 NA NA NA NA NA 38712262
121 ras 0 4.76 7.12 0.01 94 NA 55 NA NA NA 37761343
121 mmas 2 4.13 0.32 0.91 23 NA NA NA 8 0 33969726
121 acs 2 3.3 4.03 0.28 6 0.71 NA NA 6 1 32830344
121 as 1 2.4 6.95 0.81 14 NA NA NA 46 1 33456764
121 as 3 4.38 8.15 0.48 56 NA NA NA 16 0 32850821
121 as 0 4.72 6.89 0.05 67 NA NA NA NA NA 37963102
121 ras 1 1.95 8.96 0.94 43 NA 10 NA 16 0 33522753
121 as 3 4.52 4.94 0.71 13 NA NA NA 34 1 32529635
121 eas 0 1.76 9.93 0.69 20 NA NA 612 NA NA 39619995
121 acs 3 4.93 6.56 0.32 56 0.22 NA NA 12 1 32440792
121 eas 2 1.67 3.61 0.79 49 NA NA 382 16 1 32920426
121 eas 2 0.35 5.13 0.26 69 NA NA 472 36 1 33774863
121 acs 2 3.71 4.53 0.68 87 0.28 NA NA 48 0 32950926
121 mmas 1 3.69 8.1 0.94 47 NA NA NA 39 0 33706059
121 acs 2 3.39 0.99 0.17 76 0.42 NA NA 11 0 33474473
121 acs 2 2.37 4.64 0.98 37 0.43 NA NA 18 0 32735969
121 as 1 3.63 5.17 0.66 87 NA NA NA 30 1 33464956
121 eas 0 2.97 6.16 0.52 7 NA NA 189 NA NA 42708340
121 mmas 2 4.52 3.17 0.06 99 NA NA NA 31 0 33475792
121 as 3 2.31 2.26 0.73 35 NA NA NA 8 1 32515240
121 ras 2 2.33 8.96 0.63 43 NA 27 NA 30 0 33058533
121 ras 0 1.46 1.35 0.05 56 NA 70 NA NA NA 43264517
121 eas 3 1.6 2.89 0.94 61 NA NA 302 29 0 32984134
121 mmas 1 0.46 1.56 0.82 37 NA NA NA 31 0 33949030
