instance algorithm localsearch alpha beta rho ants q0 rasrank elitistants nnls dlb val
125 eas 3 4.22 0.99 0.28 77 NA NA 251 20 1 33158193
125 ras 3 2.03 7.16 0.81 63 NA 79 NA 44 1 33143498
125 acs 1 4.68 5.61 0.36 18 0.39 NA NA 42 1 33360867
125 ras 0 1.92 9.54 0.47 10 NA 81 NA NA NA 40270593
125 mmas 3 3.84 6.88 0.48 16 NA NA NA 32 0 32927654
125 ras 1 2.94 3.07 0.47 91 NA 80 NA 17 0 33455886
125 as 1 0.14 5.94 0.79 52 NA NA NA 31 0 34247230
125 eas 2 4.15 3.75 0.02 64 NA NA 550 36 1 33455389
125 ras 0 2.13 0.77 0.58 6 NA 45 NA NA NA 67373526
125 acs 3 0.91 3.61 0.52 99 0.44 NA NA 12 0 33369975
125 mmas 0 3.31 2.0 0.13 72 NA NA NA NA NA 42815281
125 ras 3 4.7 4.73 0.22 33 NA 38 NA 8 0 32965669
125 as 2 3.78 4.47 0.69 58 NA NA NA 23 0 33195140
125 acs 2 2.67 4.06 0.63 12 0.74 NA NA 8 0 32924935
125 acs 1 1.28 7.27 0.69 87 0.65 NA NA 13 1 33901945
125 mmas 2 4.25 1.16 0.06 14 NA NA NA 11 1 32835618
125 mmas 1 3.11 8.56 0.31 62 NA NA NA 36 1 33253916
125 as 3 2.69 3.22 0.75 53 NA NA NA 24 1 32938096
125 eas 3 1.56 0.98 0.86 53 NA NA 602 45 1 33044447
125 ras 2 3.36 0.69 0.91 39 NA 36 NA 5 1 33319881
125 ras 1 0.9 9.96 0.29 47 NA 24 NA 9 1 34210915
125 mmas 3 1.17 6.04 0.36 11 NA NA NA 17 0 33153595
125 mmas 1 3.25 0.01 0.17 69 NA NA NA 10 1 33235677
125 eas 2 0.62 8.35 0.2 34 NA NA 362 6 1 34092045
125 acs 2 2.44 0.01 0.41 11 0.86 NA NA 30 0 32881960
125 mmas 3 0.88 5.04 0.25 94 NA NA NA 22 0 33481929
125 eas 0 4.6 1.93 0.97 51 NA NA 147 NA NA 55998624
125 mmas 1 3.16 4.84 0.11 14 NA NA NA 31 0 33207161
125 acs 2 0.66 8.26 0.8 66 0.84 NA NA 43 1 33622645
125 acs 2 1.09 7.44 0.55 56 0.58 NA NA 32 1 33387104
125 acs 3 2.8 7.12 0.24 10 0.46 NA NA 40 1 32908642
125 eas 1 0.48 4.51 0.78 99 NA NA 327 37 1 34389237
125 mmas 1 0.98 5.8 0.21 98 NA NA NA 38 0 34183185
125 eas 2 3.7 6.03 0.95 70 NA NA 33 23 0 32908960
125 as 0 0.81 5.48 0.01 12 NA NA NA NA NA 42701075
125 ras 0 2.31 2.94 0.25 100 NA 56 NA NA NA 38948900
125 eas 3 4.47 2.93 0.31 45 NA NA 485 46 0 33657443
125 as 1 3.24 2.91 0.55 31 NA NA NA 20 0 33162068
125 eas 2 4.09 7.73 0.02 5 NA NA 449 8 1 33300658
125 mmas 1 0.77 2.17 0.7 35 NA NA NA 15 1 33990961
125 mmas 1 0.25 8.47 0.59 25 NA NA NA 15 1 34196389
125 eas 0 3.67 3.58 0.66 34 NA NA 717 NA NA 45876327
125 mmas 0 2.52 3.12 0.23 18 NA NA NA NA NA 40741905
125 mmas 3 2.66 4.15 0.59 62 NA NA NA 12 0 33219040
125 acs 0 1.15 3.33 0.67 16 0.1 NA NA NA NA 45304660
125 eas 2 1.16 7.29 0.97 18 NA NA 19 10 0 33446759
125 acs 0 1.08 8.17 0.92 56 0.98 NA NA NA NA 38176845
125 eas 1 4.69 5.44 0.31 59 NA NA 489 45 0 33072867
125 eas 0 4.55 5.21 0.93 38 NA NA 81 NA NA 43491065
125 eas 3 0.57 7.61 0.87 72 NA NA 721 20 0 33247247
125 eas 0 4.94 5.99 0.59 65 NA NA 167 NA NA 41789247
125 as 1 3.18 6.06 0.31 64 NA NA NA 28 1 33530021
125 mmas 3 1.41 2.0 0.14 59 NA NA NA 45 1 33594185
125 eas 0 1.91 1.44 0.04 28 NA NA 101 NA NA 49015275
125 ras 0 0.1 3.9 0.89 74 NA 77 NA NA NA 45087541
125 eas 3 0.82 0.75 0.19 84 NA NA 577 44 0 33648748
125 mmas 1 4.53 7.74 0.56 47 NA NA NA 24 1 33253776
125 acs 0 3.38 6.21 0.44 65 0.0 NA NA NA NA 40702921
125 acs 0 2.38 0.0 0.14 62 0.38 NA NA NA NA 86806058
125 acs 3 1.91 6.2 0.35 39 0.07 NA NA 7 0 32966720
125 mmas 3 4.82 8.13 0.91 17 NA NA NA 31 1 33227424
125 eas 0 1.94 9.46 0.05 54 NA NA 557 NA NA 39064536
125 eas 0 2.81 3.35 0.58 27 NA NA 316 NA NA 47601415
125 ras 2 2.33 8.2 0.94 84 NA 67 NA 31 1 33406549
125 eas 1 1.03 8.54 0.46 79 NA NA 166 45 0 33882710
125 mmas 3 1.49 9.57 0.03 25 NA NA NA 25 1 33402915
125 ras 0 2.69 2.6 0.09 46 NA 18 NA NA NA 40527099
125 ras 2 1.38 7.6 0.92 40 NA 52 NA 34 1 33687592
125 mmas 3 2.08 4.99 0.24 51 NA NA NA 45 0 33392804
125 as 1 0.39 3.11 0.84 44 NA NA NA 28 0 34505365
125 as 0 4.83 1.44 0.53 18 NA NA NA NA NA 44546640
125 mmas 1 2.84 6.83 0.53 82 NA NA NA 23 0 33267332
125 as 3 4.42 9.44 0.85 92 NA NA NA 43 0 33417429
125 ras 2 4.44 2.43 0.35 19 NA 65 NA 26 1 33177288
125 eas 2 1.52 9.04 0.79 13 NA NA 155 28 1 33370973
125 eas 1 2.25 9.06 0.79 9 NA NA 343 21 1 33468276
125 eas 2 4.14 3.38 0.49 20 NA NA 196 24 0 33431229
125 as 0 4.94 3.15 0.55 56 NA NA NA NA NA 39747462
125 acs 3 0.96 0.96 0.59 24 0.41 NA NA 11 0 33204672
125 as 0 0.36 4.04 0.82 19 NA NA NA NA NA 42836369
125 acs 0 3.01 2.08 0.24 64 0.54 NA NA NA NA 46092344
125 eas 3 1.12 3.39 0.14 35 NA NA 473 37 0 33181840
125 acs 3 1.74 1.67 0.65 96 0.64 NA NA 28 1 33295297
125 as 0 1.76 3.54 0.26 76 NA NA NA NA NA 38824898
125 eas 3 1.04 4.83 0.33 100 NA NA 186 34 1 33264054
125 eas 3 0.81 6.79 0.33 100 NA NA 67 33 0 33488826
125 acs 3 4.22 5.25 0.11 57 0.52 NA NA 35 1 32989077
125 as 3 2.77 8.05 0.48 85 NA NA NA 21 0 33272006
125 acs 1 4.8 4.45 0.25 31 0.53 NA NA 49 1 33017386
125 ras 3 1.16 7.16 0.53 47 NA 89 NA 38 0 33381898
125 acs 3 4.15 7.56 0.98 99 0.78 NA NA 22 0 33264514
125 acs 1 0.28 8.9 0.24 83 0.7 NA NA 25 0 33988505
125 ras 0 3.05 4.33 0.08 63 NA 4 NA NA NA 39119300
125 mmas 2 3.59 6.6 0.19 99 NA NA NA 11 0 33365187
125 mmas 0 3.3 6.55 0.11 56 NA NA NA NA NA 38783432
125 eas 2 3.99 2.43 0.2 58 NA NA 486 37 1 33171786
125 acs 0 0.67 3.6 0.67 16 0.7 NA NA NA NA 40630796
125 as 0 2.46 8.6 0.27 73 NA NA NA NA NA 38472354
125 acs 3 3.04 8.39 0.5 64 0.4 NA NA 12 1 32828156
125 ras 3 1.28 8.61 0.1 7 NA 50 NA 44 1 33076768
125 eas 2 4.49 4.09 0.47 58 NA NA 305 37 1 33140448
125 eas 2 2.17 9.77 0.16 88 NA NA 4 8 1 33667672
125 eas 0 0.98 9.33 0.66 44 NA NA 23 NA NA 38778745
125 mmas 3 1.8 3.2 0.54 90 NA NA NA 12 1 32787778
125 ras 3 0.75 7.05 0.24 83 NA 41 NA 48 0 33476164
125 acs 1 1.34 3.8 0.34 79 0.87 NA NA 33 0 33803999
125 as 2 1.18 3.61 1.0 76 NA NA NA 27 0 33733404
125 mmas 1 4.87 2.15 0.17 69 NA NA NA 18 0 33322658
125 acs 1 0.94 7.35 0.49 68 0.57 NA NA 43 0 33906729
125 ras 3 1.46 8.51 0.46 78 NA 4 NA 36 0 33238658
125 as 0 1.64 1.44 0.59 87 NA NA NA NA NA 41038346
125 mmas 1 2.49 2.02 0.85 21 NA NA NA 22 1 34732263
125 eas 1 3.68 3.51 0.05 54 NA NA 71 27 0 33421895
125 ras 1 1.29 5.6 0.65 25 NA 24 NA 14 0 33929079
125 as 3 3.52 0.46 0.53 33 NA NA NA 14 0 32859041
125 ras 0 1.43 9.65 0.51 17 NA 99 NA NA NA 39160599
125 as 1 0.67 2.08 0.02 63 NA NA NA 28 1 34935788
125 as 0 4.28 2.88 0.5 66 NA NA NA NA NA 39540163
125 acs 2 0.16 7.63 0.93 38 0.4 NA NA 22 1 33860314
125 as 0 3.34 2.17 0.72 12 NA NA NA NA NA 41780040
125 mmas 2 2.97 3.23 0.17 83 NA NA NA 13 0 33646711
125 acs 0 1.61 5.43 0.98 30 0.93 NA NA NA NA 39022371
125 ras 1 1.09 1.46 0.92 43 NA 37 NA 48 0 34254131
125 eas 0 0.23 1.8 0.36 17 NA NA 336 NA NA 53213197
125 ras 3 1.88 8.55 0.39 32 NA 45 NA 33 0 33246784
125 eas 2 2.67 8.85 0.63 10 NA NA 313 45 1 33349511
125 mmas 1 2.25 4.73 0.75 8 NA NA NA 10 1 33861162
125 ras 2 0.75 4.78 0.96 56 NA 100 NA 22 1 33880858
125 mmas 3 2.57 1.4 0.17 55 NA NA NA 31 1 33399790
125 ras 1 4.4 0.62 0.19 18 NA 20 NA 49 1 33085221
125 as 0 0.19 9.5 0.35 49 NA NA NA NA NA 39760588
125 mmas 2 3.81 6.86 0.13 83 NA NA NA 38 0 33404703
125 as 0 3.23 6.55 0.16 35 NA NA NA NA NA 38263749
125 eas 0 4.71 9.13 0.43 5 NA NA 573 NA NA 40899682
125 acs 3 2.7 2.19 0.94 76 0.37 NA NA 8 0 32992305
125 ras 0 1.18 8.95 0.77 15 NA 20 NA NA NA 39730432
125 acs 0 4.63 0.13 0.43 91 0.1 NA NA NA NA 75298626
125 eas 0 1.09 7.41 0.35 8 NA NA 720 NA NA 40293031
125 ras 1 0.61 1.62 0.83 14 NA 18 NA 43 0 34656319
125 as 2 2.66 1.17 0.63 72 NA NA NA 40 1 32943915
125 eas 1 1.45 7.13 0.41 27 NA NA 582 19 0 33267358
125 mmas 0 0.25 0.73 0.41 47 NA NA NA NA NA 68290585
125 eas 3 1.94 6.83 0.71 95 NA NA 1 50 0 33530280
125 mmas 0 1.83 1.53 0.94 77 NA NA NA NA NA 56623469
125 acs 0 1.86 6.03 0.9 15 0.84 NA NA NA NA 38893814
125 mmas 0 4.38 4.99 0.25 62 NA NA NA NA NA 39404877
125 mmas 3 2.28 9.91 0.71 79 NA NA NA 40 1 32990741
125 ras 2 2.24 2.17 0.94 23 NA 27 NA 40 1 32816849
125 ras 2 4.71 4.05 0.59 50 NA 93 NA 5 0 33223671
125 acs 0 3.04 2.63 0.19 68 0.78 NA NA NA NA 41255720
125 acs 0 1.67 2.96 0.62 26 0.08 NA NA NA NA 47146307
125 as 2 1.69 6.45 0.12 69 NA NA NA 38 1 33590850
125 mmas 2 4.06 5.42 0.14 17 NA NA NA 11 1 32874880
125 ras 2 2.24 0.17 0.13 75 NA 28 NA 40 0 33324451
125 ras 3 0.45 7.53 0.96 17 NA 90 NA 37 1 33306683
125 as 3 1.0 6.32 0.14 56 NA NA NA 36 0 33334460
125 as 2 0.97 4.32 0.98 33 NA NA NA 50 0 33731531
125 mmas 2 0.69 9.9 0.59 45 NA NA NA 43 0 33541114
125 as 1 4.54 2.0 0.52 39 NA NA NA 45 1 33447838
125 ras 3 0.47 5.73 0.17 98 NA 26 NA 8 1 33532239
125 ras 1 4.33 8.69 0.91 13 NA 83 NA 42 1 33641994
125 as 2 1.45 6.28 0.65 83 NA NA NA 40 0 33574432
125 as 2 1.08 1.26 0.4 7 NA NA NA 45 0 33803712
125 eas 1 3.92 6.17 0.12 83 NA NA 19 42 0 33653194
125 mmas 1 0.04 5.21 0.09 11 NA NA NA 8 0 34618317
125 ras 0 3.02 8.57 0.27 27 NA 22 NA NA NA 38357219
125 ras 1 2.51 0.41 0.01 50 NA 3 NA 49 1 35103851
125 as 0 4.6 7.61 0.37 51 NA NA NA NA NA 38873565
125 acs 0 2.0 9.5 0.53 71 0.38 NA NA NA NA 39169289
125 eas 3 1.15 1.26 0.67 83 NA NA 557 44 1 33160416
125 eas 1 4.0 6.16 0.47 12 NA NA 489 13 1 34164055
125 acs 3 1.04 8.07 0.86 76 0.59 NA NA 20 1 33215090
125 acs 0 0.48 6.27 0.76 18 0.84 NA NA NA NA 38545789
125 mmas 0 0.99 6.8 0.86 11 NA NA NA NA NA 39780145
125 eas 1 2.77 2.73 0.53 54 NA NA 278 30 1 33647157
125 mmas 1 3.18 8.92 0.23 99 NA NA NA 43 1 33416434
125 acs 3 1.57 6.39 0.69 91 0.98 NA NA 24 0 33208618
125 eas 1 3.04 0.46 0.23 73 NA NA 233 16 1 33363723
125 as 2 3.11 9.25 0.84 89 NA NA NA 6 1 33687404
125 mmas 3 4.7 8.96 0.72 60 NA NA NA 47 1 32975355
125 ras 2 4.18 2.41 0.5 57 NA 54 NA 22 1 32964891
125 eas 1 4.98 9.91 0.49 81 NA NA 242 49 1 33112965
125 mmas 3 1.73 5.04 0.83 77 NA NA NA 20 1 33015547
125 mmas 2 1.26 3.75 0.91 70 NA NA NA 11 0 33076695
125 mmas 0 0.6 7.99 0.2 89 NA NA NA NA NA 39645823
125 ras 1 1.33 1.6 0.85 32 NA 98 NA 45 1 34099397
125 acs 3 0.21 4.9 0.94 29 0.06 NA NA 49 0 33503610
125 as 1 1.33 2.69 0.62 85 NA NA NA 35 1 34080978
125 as 1 1.78 7.9 0.65 15 NA NA NA 14 1 33897877
125 mmas 2 2.99 6.76 0.76 89 NA NA NA 10 0 33311484
125 acs 3 0.63 1.5 0.27 87 0.15 NA NA 48 1 33624919
125 eas 1 1.47 1.94 0.4 56 NA NA 283 18 0 33320937
125 as 2 3.6 7.08 0.05 76 NA NA NA 15 1 33390043
125 mmas 2 4.85 9.09 0.4 8 NA NA NA 20 1 32976149
125 as 3 4.07 4.74 0.9 75 NA NA NA 37 0 33159951
125 as 2 4.89 2.52 0.78 23 NA NA NA 32 0 32959773
125 eas 0 4.21 5.42 0.57 96 NA NA 554 NA NA 42980882
125 eas 1 3.02 5.35 0.01 16 NA NA 674 40 0 33484113
125 acs 2 0.81 4.85 0.97 100 0.06 NA NA 43 0 33778479
125 eas 1 3.2 4.95 0.99 9 NA NA 559 7 1 34764174
125 ras 1 0.02 6.93 0.05 91 NA 22 NA 5 0 34935908
125 eas 3 1.15 0.66 0.25 93 NA NA 478 11 0 33210602
125 acs 3 1.72 0.8 0.48 90 0.67 NA NA 47 1 33395049
125 as 0 2.32 1.97 0.29 19 NA NA NA NA NA 40499316
125 mmas 3 0.49 1.14 0.91 100 NA NA NA 27 1 33475789
125 as 3 0.93 8.45 0.13 82 NA NA NA 34 1 33336724
125 ras 2 2.55 0.46 0.35 94 NA 77 NA 30 1 33164785
125 ras 1 0.24 4.1 0.44 30 NA 60 NA 41 0 34490353
125 mmas 2 3.61 3.98 0.3 26 NA NA NA 39 1 32936252
125 acs 2 1.86 3.93 0.47 85 0.42 NA NA 16 0 33455431
125 mmas 3 4.7 0.41 0.95 85 NA NA NA 44 1 33439100
125 acs 0 2.5 7.46 0.78 46 0.52 NA NA NA NA 38560340
125 as 1 0.98 9.66 0.1 43 NA NA NA 45 0 33956182
125 ras 3 3.56 5.6 0.54 84 NA 48 NA 32 1 32886542
125 eas 0 1.52 5.36 0.23 74 NA NA 348 NA NA 39950450
125 eas 0 2.85 3.34 0.85 40 NA NA 603 NA NA 48388186
125 as 0 0.28 2.49 0.05 79 NA NA NA NA NA 50458644
125 as 0 0.19 5.37 0.39 29 NA NA NA NA NA 41703822
125 ras 2 4.11 7.69 0.89 51 NA 100 NA 43 0 33112841
125 as 2 2.49 8.21 0.98 10 NA NA NA 44 0 33309217
125 acs 0 3.75 7.21 0.58 19 0.99 NA NA NA NA 38116050
125 eas 3 1.42 8.83 0.02 25 NA NA 404 17 0 33147442
125 ras 3 4.62 7.16 0.94 77 NA 4 NA 23 1 32800855
125 ras 0 2.28 5.45 0.89 22 NA 12 NA NA NA 39506098
125 acs 3 3.51 5.02 0.88 100 0.19 NA NA 7 1 33154567
125 as 1 2.04 1.51 0.18 60 NA NA NA 10 1 33566631
125 ras 2 2.41 9.62 0.6 58 NA 35 NA 10 1 33486804
125 acs 2 1.96 9.83 0.05 98 0.78 NA NA 34 0 33555497
125 ras 0 0.58 7.18 0.49 58 NA 74 NA NA NA 39814954
125 acs 3 0.7 2.76 0.07 49 0.3 NA NA 49 0 33340595
125 as 2 4.94 5.2 0.42 12 NA NA NA 27 0 33040271
125 acs 2 3.85 2.21 0.26 82 0.1 NA NA 5 1 34416713
125 as 0 3.36 9.61 0.59 74 NA NA NA NA NA 38747809
125 as 2 2.81 3.96 0.67 80 NA NA NA 29 1 33087985
125 acs 0 1.03 0.86 1.0 33 0.86 NA NA NA NA 42106706
125 mmas 3 4.39 4.93 0.12 24 NA NA NA 44 1 32987059
125 as 1 2.44 3.64 0.33 56 NA NA NA 23 1 33404956
125 acs 1 2.94 5.03 0.42 59 0.08 NA NA 35 1 33094233
125 mmas 3 1.98 1.65 0.5 7 NA NA NA 22 1 32889692
125 mmas 2 1.33 8.59 0.65 70 NA NA NA 28 0 33171322
125 ras 3 4.97 6.56 0.14 9 NA 39 NA 19 1 32815569
125 as 1 4.03 4.39 0.06 78 NA NA NA 7 0 33589791
125 mmas 0 1.31 9.57 0.44 66 NA NA NA NA NA 38727502
125 eas 0 4.97 7.2 0.4 92 NA NA 239 NA NA 40102557
125 as 1 0.72 8.96 0.37 51 NA NA NA 24 1 34208610
125 as 2 0.25 1.43 0.05 74 NA NA NA 12 1 34671462
125 as 0 4.02 0.9 0.7 47 NA NA NA NA NA 44659785
125 acs 1 0.13 2.49 0.03 43 0.57 NA NA 40 1 34715193
125 acs 3 3.67 1.5 0.2 100 0.07 NA NA 42 1 33439494
125 ras 1 0.69 3.13 0.64 79 NA 84 NA 38 1 34642323
125 mmas 3 4.14 8.33 0.03 12 NA NA NA 50 0 33385917
125 acs 0 4.34 9.85 0.08 23 0.38 NA NA NA NA 38640905
125 ras 1 3.23 9.21 0.49 96 NA 6 NA 45 1 33366311
125 mmas 1 0.88 9.43 0.68 16 NA NA NA 9 1 33816399
125 mmas 1 1.67 5.34 0.15 88 NA NA NA 11 1 33853641
125 as 3 0.55 5.2 0.11 95 NA NA NA 20 0 33431741
125 eas 3 0.05 7.02 0.68 75 NA NA 63 15 1 33463751
125 acs 1 3.6 4.65 0.96 45 0.51 NA NA 31 1 33382938
125 eas 1 3.4 4.43 0.78 92 NA NA 607 48 0 34161028
125 ras 1 4.33 2.65 0.76 60 NA 68 NA 32 1 33316675
125 ras 1 3.99 4.27 0.48 12 NA 61 NA 33 0 33281065
125 acs 3 0.34 1.92 0.59 73 0.61 NA NA 19 0 33449745
125 ras 3 1.78 9.2 0.8 19 NA 84 NA 48 1 33204055
125 acs 1 3.76 1.11 0.69 65 0.0 NA NA 24 0 33554347
125 as 1 4.36 2.88 0.61 19 NA NA NA 11 0 33250610
125 ras 2 3.92 6.73 0.52 32 NA 6 NA 30 0 32811859
125 acs 2 4.41 3.26 0.34 38 0.78 NA NA 10 1 32967076
125 acs 0 1.58 9.62 0.15 18 0.16 NA NA NA NA 38433468
125 mmas 3 4.61 1.88 0.77 67 NA NA NA 48 0 33364195
125 acs 1 4.87 9.3 0.77 44 0.21 NA NA 32 1 33321493
125 as 3 2.33 4.45 0.52 92 NA NA NA 13 1 32994312
125 as 0 0.73 4.94 0.12 96 NA NA NA NA NA 40296729
125 as 0 2.05 3.95 0.97 85 NA NA NA NA NA 39365927
125 mmas 0 4.54 3.92 0.2 38 NA NA NA NA NA 40001225
125 as 0 0.29 6.79 0.51 91 NA NA NA NA NA 40215882
125 mmas 3 4.36 0.46 0.59 84 NA NA NA 14 0 33074814
125 eas 1 0.29 9.51 0.91 24 NA NA 231 6 0 34490577
125 eas 1 3.35 3.64 0.79 13 NA NA 589 5 0 34356909
125 as 3 3.5 6.32 0.32 30 NA NA NA 15 1 32936752
125 ras 1 0.28 1.24 0.38 35 NA 97 NA 42 0 35041248
125 acs 1 0.18 5.43 0.07 49 0.49 NA NA 24 0 34233502
125 eas 1 4.85 7.77 0.07 55 NA NA 617 14 0 33810736
125 as 0 4.78 8.33 0.76 34 NA NA NA NA NA 39499124
125 mmas 3 2.11 1.01 0.42 57 NA NA NA 22 1 32789725
125 ras 3 0.52 6.22 0.41 92 NA 12 NA 38 1 33450690
125 ras 0 0.79 2.92 0.96 5 NA 28 NA NA NA 43020882
125 ras 0 2.26 7.95 0.59 40 NA 11 NA NA NA 38511144
125 acs 1 1.44 7.51 0.54 16 0.39 NA NA 46 0 33644152
125 eas 1 0.52 3.96 0.95 44 NA NA 661 5 0 34619895
125 acs 3 2.76 7.19 0.45 27 0.55 NA NA 20 1 32768741
125 as 3 0.83 2.53 0.69 47 NA NA NA 27 1 33404758
125 eas 2 0.72 7.5 0.81 93 NA NA 143 10 1 33822306
125 acs 1 3.06 0.14 0.52 67 0.11 NA NA 19 0 33963458
125 acs 3 4.1 4.16 0.96 11 0.02 NA NA 44 0 33622906
125 mmas 0 1.01 1.69 0.79 18 NA NA NA NA NA 50604722
125 ras 3 0.78 4.29 0.42 11 NA 84 NA 40 1 33418352
125 ras 1 1.21 3.46 0.99 53 NA 28 NA 18 1 33914956
125 ras 1 2.83 0.52 0.5 75 NA 80 NA 49 0 33233791
125 eas 0 3.3 5.61 0.23 80 NA NA 670 NA NA 41539238
125 eas 1 0.62 9.33 0.54 84 NA NA 697 13 1 34088208
125 acs 3 4.22 7.9 0.78 62 1.0 NA NA 35 1 32859545
125 eas 1 4.37 8.13 0.32 31 NA NA 601 21 0 33206913
125 ras 2 4.81 0.1 0.26 46 NA 97 NA 27 0 33250322
125 ras 2 0.42 8.72 0.47 92 NA 73 NA 45 1 34011036
125 eas 3 1.91 1.91 0.14 18 NA NA 181 27 0 33222900
125 acs 1 0.1 4.4 0.02 61 0.59 NA NA 50 0 34194595
125 mmas 0 1.53 0.96 0.78 6 NA NA NA NA NA 62338877
125 mmas 3 0.01 1.42 0.5 63 NA NA NA 36 0 33626745
125 mmas 3 1.94 9.2 0.49 57 NA NA NA 5 0 33280843
125 as 1 1.03 3.49 0.34 73 NA NA NA 9 0 34259598
125 as 3 0.01 3.74 0.51 76 NA NA NA 20 0 33464478
125 acs 3 2.19 0.81 0.17 51 0.98 NA NA 6 0 32858827
125 as 2 1.86 4.59 0.69 44 NA NA NA 12 1 33465830
125 mmas 3 0.7 2.51 0.42 33 NA NA NA 16 0 33328137
125 ras 0 1.09 8.9 0.13 48 NA 24 NA NA NA 38914383
125 mmas 1 3.61 3.51 0.69 6 NA NA NA 12 1 34388044
125 as 3 0.75 2.48 0.53 61 NA NA NA 36 1 33475505
125 mmas 1 2.3 0.52 1.0 9 NA NA NA 40 0 35028003
125 as 3 3.31 0.51 0.58 68 NA NA NA 43 0 33162570
125 eas 0 3.21 1.58 0.85 53 NA NA 732 NA NA 58291818
125 eas 0 1.71 6.36 0.56 16 NA NA 559 NA NA 41949073
125 eas 2 2.1 4.22 0.48 19 NA NA 70 21 0 33166561
125 mmas 1 3.64 2.26 0.86 65 NA NA NA 18 1 34426963
125 mmas 0 4.96 7.53 0.35 53 NA NA NA NA NA 38644581
125 ras 2 0.8 7.88 0.68 36 NA 52 NA 19 1 33851543
125 acs 2 3.85 0.28 0.75 58 0.83 NA NA 47 1 33121082
125 as 2 1.97 6.52 0.38 50 NA NA NA 41 0 33432684
125 mmas 3 4.48 8.01 0.37 7 NA NA NA 41 0 32834070
125 mmas 1 1.94 3.01 0.35 49 NA NA NA 17 0 33669758
125 as 2 1.56 8.51 0.1 8 NA NA NA 20 1 33666241
125 ras 3 0.79 7.5 0.03 99 NA 22 NA 43 0 33395699
125 acs 1 1.76 3.76 0.78 61 0.44 NA NA 5 0 34175057
125 as 0 3.67 9.28 0.11 88 NA NA NA NA NA 38196863
125 acs 3 2.88 8.58 0.03 87 0.48 NA NA 50 1 33219780
125 as 3 3.84 8.88 1.0 56 NA NA NA 22 1 33045397
125 ras 1 4.37 6.86 0.13 20 NA 79 NA 36 1 33404595
125 eas 2 4.61 9.06 0.41 17 NA NA 723 13 0 33369331
125 ras 3 2.14 8.71 0.94 46 NA 80 NA 44 1 33229360
125 as 1 0.25 4.69 0.1 65 NA NA NA 5 1 35634431
125 as 0 1.52 6.16 0.81 94 NA NA NA NA NA 39049084
125 as 1 4.95 2.09 0.97 68 NA NA NA 18 1 33397905
125 mmas 1 4.49 5.11 0.04 14 NA NA NA 38 1 33354126
125 mmas 0 2.43 1.13 0.45 94 NA NA NA NA NA 54579439
125 as 2 0.71 3.98 0.75 14 NA NA NA 25 1 34066404
125 as 2 2.53 3.11 0.21 71 NA NA NA 33 1 33132446
125 as 3 2.03 2.67 0.57 31 NA NA NA 7 1 32854817
125 as 2 0.85 1.66 0.77 37 NA NA NA 7 1 34502036
125 as 2 4.75 3.54 0.12 81 NA NA NA 12 1 33304138
125 as 1 0.88 9.66 0.63 46 NA NA NA 49 1 34244952
125 acs 2 3.86 9.43 0.5 53 0.98 NA NA 38 1 32982116
125 mmas 2 1.0 3.63 0.87 73 NA NA NA 48 0 32895677
125 mmas 3 0.17 3.01 0.36 6 NA NA NA 5 1 34580923
125 as 2 0.94 6.81 0.65 33 NA NA NA 24 1 33835985
125 eas 2 2.43 2.54 0.51 91 NA NA 559 37 0 33204208
125 mmas 2 3.77 4.88 0.22 9 NA NA NA 38 1 32870866
125 eas 3 2.7 0.77 0.22 81 NA NA 548 45 0 33670208
125 eas 1 3.53 7.6 0.21 95 NA NA 578 43 1 33376316
125 ras 0 3.7 9.16 0.64 7 NA 9 NA NA NA 39691807
125 mmas 1 3.3 6.96 0.69 58 NA NA NA 46 1 33438970
125 mmas 2 3.96 3.41 0.1 24 NA NA NA 38 1 32776314
125 acs 3 3.65 9.96 0.89 98 0.8 NA NA 22 0 33260654
125 mmas 0 3.97 6.57 0.44 64 NA NA NA NA NA 39716783
125 eas 0 0.71 5.53 0.74 29 NA NA 459 NA NA 39859793
125 acs 2 4.53 8.41 0.57 97 0.38 NA NA 48 0 33383238
125 as 1 3.7 6.61 0.72 100 NA NA NA 16 1 33576678
125 acs 3 1.71 7.55 0.92 80 0.24 NA NA 25 0 33217662
125 ras 0 2.72 4.71 0.05 64 NA 92 NA NA NA 38998968
125 ras 1 0.39 9.39 0.12 81 NA 27 NA 19 1 34299782
125 eas 0 0.06 8.93 0.97 55 NA NA 436 NA NA 39936682
125 eas 0 3.01 8.45 0.2 58 NA NA 318 NA NA 39859792
125 mmas 3 4.58 1.34 0.21 75 NA NA NA 10 0 33244944
125 ras 2 3.51 1.63 0.18 68 NA 21 NA 11 1 32989119
125 as 0 2.01 9.04 0.92 7 NA NA NA NA NA 39291222
125 ras 0 1.98 1.76 0.27 73 NA 54 NA NA NA 40186954
125 ras 1 0.36 4.07 0.1 25 NA 21 NA 38 1 34706540
125 as 0 0.33 4.99 0.18 73 NA NA NA NA NA 41833269
125 ras 1 1.37 9.45 0.4 87 NA 55 NA 41 1 33963789
125 eas 3 4.93 2.77 0.6 19 NA NA 137 30 1 33181037
125 as 0 3.77 6.83 0.08 47 NA NA NA NA NA 38393148
125 as 1 4.17 7.25 0.9 21 NA NA NA 41 1 33329393
125 mmas 3 2.36 4.84 0.94 24 NA NA NA 41 1 33470021
