instance ASCENT_CANDIDATES BACKBONE_TRIALS BACKTRACKING CANDIDATE_SET_TYPE EXTRA_CANDIDATES EXTRA_CANDIDATE_SET_TYPE GAIN23 GAIN_CRITERION INITIAL_STEP_SIZE INITIAL_TOUR_ALGORITHM KICK_TYPE KICKS MAX_CANDIDATES MOVE_TYPE PATCHING_A PATCHING_C POPULATION_SIZE RESTRICTED_SEARCH SUBGRADIENT SUBSEQUENT_MOVE_TYPE SUBSEQUENT_PATCHING result
121 371 3 YES ALPHA 18 QUADRANT NO NO 3 NEAREST-NEIGHBOR 14 3 15 5 19 1 581 NO NO 0 YES 38533655
121 161 2 NO NEAREST-NEIGHBOR 17 NEAREST-NEIGHBOR NO YES 2 GREEDY 20 3 6 3 14 3 320 NO NO 5 NO 32240558
121 35 2 YES NEAREST-NEIGHBOR 11 NEAREST-NEIGHBOR YES NO 3 BORUVKA 7 3 7 8 2 3 848 NO NO 4 YES 34063041
121 338 3 NO ALPHA 14 QUADRANT YES NO 5 BORUVKA 17 4 4 19 2 5 458 YES NO 3 NO 37786207
121 300 2 NO QUADRANT 2 QUADRANT NO YES 3 WALK 13 5 3 5 20 2 897 YES NO 2 NO 34714705
121 277 1 YES QUADRANT 18 QUADRANT YES NO 5 BORUVKA 6 4 18 4 13 5 120 YES NO 2 YES 36067749
121 392 0 NO ALPHA 1 NEAREST-NEIGHBOR YES NO 5 MOORE 8 1 5 4 2 2 548 YES NO 3 NO 32327465
121 125 5 YES ALPHA 2 NEAREST-NEIGHBOR NO NO 2 SIERPINSKI 11 1 16 7 11 5 537 NO NO 3 YES 36158436
121 280 1 YES QUADRANT 0 NEAREST-NEIGHBOR NO NO 4 NEAREST-NEIGHBOR 17 5 7 7 7 2 77 NO NO 4 NO 33789714
121 323 2 YES QUADRANT 16 NEAREST-NEIGHBOR YES NO 3 BORUVKA 14 2 10 19 12 5 823 NO NO 3 YES 37051157
121 396 5 NO ALPHA 4 QUADRANT NO NO 1 NEAREST-NEIGHBOR 9 5 19 14 2 4 721 NO NO 4 NO 41049573
121 276 3 NO NEAREST-NEIGHBOR 10 NEAREST-NEIGHBOR YES YES 1 NEAREST-NEIGHBOR 7 5 19 12 13 4 531 NO NO 6 YES 39464693
121 370 2 YES NEAREST-NEIGHBOR 0 QUADRANT YES YES 1 MOORE 18 2 11 19 18 1 120 NO NO 5 YES 43046672
121 165 2 NO DELAUNAY 5 QUADRANT YES NO 3 NEAREST-NEIGHBOR 15 5 12 4 20 4 821 YES NO 6 NO 33134632
121 445 5 NO QUADRANT 3 QUADRANT NO NO 3 QUICK-BORUVKA 13 3 18 14 18 3 727 NO NO 4 YES 38676354
121 57 5 NO QUADRANT 1 NEAREST-NEIGHBOR YES YES 1 BORUVKA 8 4 15 15 17 5 484 YES NO 3 YES 36812781
121 281 3 YES QUADRANT 5 NEAREST-NEIGHBOR YES NO 1 SIERPINSKI 19 5 3 4 3 5 153 NO NO 4 NO 32649318
121 177 4 NO NEAREST-NEIGHBOR 5 QUADRANT YES NO 3 BORUVKA 16 1 15 17 14 5 375 YES NO 5 NO 36912418
121 473 1 YES QUADRANT 4 QUADRANT YES YES 3 SIERPINSKI 12 3 19 20 12 2 618 YES NO 5 YES 42514468
121 20 3 YES ALPHA 20 NEAREST-NEIGHBOR NO NO 2 NEAREST-NEIGHBOR 14 5 8 11 16 1 762 NO NO 5 YES 44984123
121 454 4 YES NEAREST-NEIGHBOR 11 QUADRANT NO NO 4 NEAREST-NEIGHBOR 13 1 17 4 18 2 962 YES NO 3 NO 34145077
121 406 5 NO DELAUNAY 17 QUADRANT NO YES 2 NEAREST-NEIGHBOR 5 1 9 4 7 3 60 YES NO 3 NO 32360722
121 208 2 NO QUADRANT 4 QUADRANT NO YES 4 SIERPINSKI 14 2 11 10 2 1 417 NO NO 6 YES 39203655
121 494 1 YES NEAREST-NEIGHBOR 19 NEAREST-NEIGHBOR YES NO 3 QUICK-BORUVKA 17 3 10 14 6 4 985 YES NO 4 NO 37987928
121 342 3 YES QUADRANT 11 NEAREST-NEIGHBOR NO NO 1 SIERPINSKI 14 2 4 11 11 2 868 YES NO 2 YES 37857880
121 238 5 NO NEAREST-NEIGHBOR 0 QUADRANT NO YES 5 GREEDY 7 5 19 14 19 5 867 YES NO 4 NO 37075098
121 205 2 YES NEAREST-NEIGHBOR 8 NEAREST-NEIGHBOR YES NO 3 GREEDY 7 3 8 14 5 2 987 YES NO 4 YES 35802365
121 208 2 NO ALPHA 2 NEAREST-NEIGHBOR NO NO 4 BORUVKA 11 3 18 19 18 2 145 NO NO 3 YES 37233853
